-16 -16 0 0 0 128
-16 -15 0 -1 8 120
-16 -14 0 -2 16 112
-16 -13 0 -3 24 104
-16 -12 0 -4 32 96
-16 -11 0 -5 40 88
-16 -10 0 -6 48 80
-16 -9 0 -7 56 72
-16 -8 0 -8 64 64
-16 -7 0 -9 72 56
-16 -6 0 -10 80 48
-16 -5 0 -11 88 40
-16 -4 0 -12 96 32
-16 -3 0 -13 104 24
-16 -2 0 -14 112 16
-15 -16 -1 0 -8 120
-15 -15 -1 -1 0 112
-15 -14 -1 -2 8 104
-15 -13 -1 -3 16 96
-15 -12 -1 -4 24 88
-15 -11 -1 -5 32 80
-15 -10 -1 -6 40 72
-15 -9 -1 -7 48 64
-15 -8 -1 -8 56 56
-15 -7 -1 -9 64 48
-15 -6 -1 -10 72 40
-15 -5 -1 -11 80 32
-15 -4 -1 -12 88 24
-15 -3 -1 -13 96 16
-15 -2 -1 -14 104 8
-14 -16 -2 0 -16 112
-14 -15 -2 -1 -8 104
-14 -14 -2 -2 0 96
-14 -13 -2 -3 8 88
-14 -12 -2 -4 16 80
-14 -11 -2 -5 24 72
-14 -10 -2 -6 32 64
-14 -9 -2 -7 40 56
-14 -8 -2 -8 48 48
-14 -7 -2 -9 56 40
-14 -6 -2 -10 64 32
-14 -5 -2 -11 72 24
-14 -4 -2 -12 80 16
-14 -3 -2 -13 88 8
-14 -2 -2 -14 96 0
-13 -16 -3 0 -24 104
-13 -15 -3 -1 -16 96
-13 -14 -3 -2 -8 88
-13 -13 -3 -3 0 80
-13 -12 -3 -4 8 72
-13 -11 -3 -5 16 64
-13 -10 -3 -6 24 56
-13 -9 -3 -7 32 48
-13 -8 -3 -8 40 40
-13 -7 -3 -9 48 32
-13 -6 -3 -10 56 24
-13 -5 -3 -11 64 16
-13 -4 -3 -12 72 8
-13 -3 -3 -13 80 0
-13 -2 -3 -14 88 -8
-12 -16 -4 0 -32 96
-12 -15 -4 -1 -24 88
-12 -14 -4 -2 -16 80
-12 -13 -4 -3 -8 72
-12 -12 -4 -4 0 64
-12 -11 -4 -5 8 56
-12 -10 -4 -6 16 48
-12 -9 -4 -7 24 40
-12 -8 -4 -8 32 32
-12 -7 -4 -9 40 24
-12 -6 -4 -10 48 16
-12 -5 -4 -11 56 8
-12 -4 -4 -12 64 0
-12 -3 -4 -13 72 -8
-12 -2 -4 -14 80 -16
-11 -16 -5 0 -40 88
-11 -15 -5 -1 -32 80
-11 -14 -5 -2 -24 72
-11 -13 -5 -3 -16 64
-11 -12 -5 -4 -8 56
-11 -11 -5 -5 0 48
-11 -10 -5 -6 8 40
-11 -9 -5 -7 16 32
-11 -8 -5 -8 24 24
-11 -7 -5 -9 32 16
-11 -6 -5 -10 40 8
-11 -5 -5 -11 48 0
-11 -4 -5 -12 56 -8
-11 -3 -5 -13 64 -16
-11 -2 -5 -14 72 -24
-10 -16 -6 0 -48 80
-10 -15 -6 -1 -40 72
-10 -14 -6 -2 -32 64
-10 -13 -6 -3 -24 56
-10 -12 -6 -4 -16 48
-10 -11 -6 -5 -8 40
-10 -10 -6 -6 0 32
-10 -9 -6 -7 8 24
-10 -8 -6 -8 16 16
-10 -7 -6 -9 24 8
-10 -6 -6 -10 32 0
-10 -5 -6 -11 40 -8
-10 -4 -6 -12 48 -16
-10 -3 -6 -13 56 -24
-10 -2 -6 -14 64 -32
-9 -16 -7 0 -56 72
-9 -15 -7 -1 -48 64
-9 -14 -7 -2 -40 56
-9 -13 -7 -3 -32 48
-9 -12 -7 -4 -24 40
-9 -11 -7 -5 -16 32
-9 -10 -7 -6 -8 24
-9 -9 -7 -7 0 16
-9 -8 -7 -8 8 8
-9 -7 -7 -9 16 0
-9 -6 -7 -10 24 -8
-9 -5 -7 -11 32 -16
-9 -4 -7 -12 40 -24
-9 -3 -7 -13 48 -32
-9 -2 -7 -14 56 -40
-8 -16 -8 0 -64 64
-8 -15 -8 -1 -56 56
-8 -14 -8 -2 -48 48
-8 -13 -8 -3 -40 40
-8 -12 -8 -4 -32 32
-8 -11 -8 -5 -24 24
-8 -10 -8 -6 -16 16
-8 -9 -8 -7 -8 8
-8 -8 -8 -8 0 0
-8 -7 -8 -9 8 -8
-8 -6 -8 -10 16 -16
-8 -5 -8 -11 24 -24
-8 -4 -8 -12 32 -32
-8 -3 -8 -13 40 -40
-8 -2 -8 -14 48 -48
-7 -16 -9 0 -72 56
-7 -15 -9 -1 -64 48
-7 -14 -9 -2 -56 40
-7 -13 -9 -3 -48 32
-7 -12 -9 -4 -40 24
-7 -11 -9 -5 -32 16
-7 -10 -9 -6 -24 8
-7 -9 -9 -7 -16 0
-7 -8 -9 -8 -8 -8
-7 -7 -9 -9 0 -16
-7 -6 -9 -10 8 -24
-7 -5 -9 -11 16 -32
-7 -4 -9 -12 24 -40
-7 -3 -9 -13 32 -48
-7 -2 -9 -14 40 -56
-6 -16 -10 0 -80 48
-6 -15 -10 -1 -72 40
-6 -14 -10 -2 -64 32
-6 -13 -10 -3 -56 24
-6 -12 -10 -4 -48 16
-6 -11 -10 -5 -40 8
-6 -10 -10 -6 -32 0
-6 -9 -10 -7 -24 -8
-6 -8 -10 -8 -16 -16
-6 -7 -10 -9 -8 -24
-6 -6 -10 -10 0 -32
-6 -5 -10 -11 8 -40
-6 -4 -10 -12 16 -48
-6 -3 -10 -13 24 -56
-6 -2 -10 -14 32 -64
-5 -16 -11 0 -88 40
-5 -15 -11 -1 -80 32
-5 -14 -11 -2 -72 24
-5 -13 -11 -3 -64 16
-5 -12 -11 -4 -56 8
-5 -11 -11 -5 -48 0
-5 -10 -11 -6 -40 -8
-5 -9 -11 -7 -32 -16
-5 -8 -11 -8 -24 -24
-5 -7 -11 -9 -16 -32
-5 -6 -11 -10 -8 -40
-5 -5 -11 -11 0 -48
-5 -4 -11 -12 8 -56
-5 -3 -11 -13 16 -64
-5 -2 -11 -14 24 -72
-4 -16 -12 0 -96 32
-4 -15 -12 -1 -88 24
-4 -14 -12 -2 -80 16
-4 -13 -12 -3 -72 8
-4 -12 -12 -4 -64 0
-4 -11 -12 -5 -56 -8
-4 -10 -12 -6 -48 -16
-4 -9 -12 -7 -40 -24
-4 -8 -12 -8 -32 -32
-4 -7 -12 -9 -24 -40
-4 -6 -12 -10 -16 -48
-4 -5 -12 -11 -8 -56
-4 -4 -12 -12 0 -64
-4 -3 -12 -13 8 -72
-4 -2 -12 -14 16 -80
-3 -16 -13 0 -104 24
-3 -15 -13 -1 -96 16
-3 -14 -13 -2 -88 8
-3 -13 -13 -3 -80 0
-3 -12 -13 -4 -72 -8
-3 -11 -13 -5 -64 -16
-3 -10 -13 -6 -56 -24
-3 -9 -13 -7 -48 -32
-3 -8 -13 -8 -40 -40
-3 -7 -13 -9 -32 -48
-3 -6 -13 -10 -24 -56
-3 -5 -13 -11 -16 -64
-3 -4 -13 -12 -8 -72
-3 -3 -13 -13 0 -80
-3 -2 -13 -14 8 -88
-2 -16 -14 0 -112 16
-2 -15 -14 -1 -104 8
-2 -14 -14 -2 -96 0
-2 -13 -14 -3 -88 -8
-2 -12 -14 -4 -80 -16
-2 -11 -14 -5 -72 -24
-2 -10 -14 -6 -64 -32
-2 -9 -14 -7 -56 -40
-2 -8 -14 -8 -48 -48
-2 -7 -14 -9 -40 -56
-2 -6 -14 -10 -32 -64
-2 -5 -14 -11 -24 -72
-2 -4 -14 -12 -16 -80
-2 -3 -14 -13 -8 -88
-2 -2 -14 -14 0 -96
-16 -15 0 1 8 120
-16 -14 0 0 15 112
-16 -13 0 -1 22 104
-16 -12 0 -2 29 96
-16 -11 0 -3 36 88
-16 -10 0 -4 43 80
-16 -9 0 -5 50 72
-16 -8 0 -6 57 64
-16 -7 0 -7 64 56
-16 -6 0 -8 71 48
-16 -5 0 -9 78 40
-16 -4 0 -10 85 32
-16 -3 0 -11 92 24
-16 -2 0 -12 99 16
-16 -1 0 -13 106 8
-15 -15 -1 1 0 113
-15 -14 -1 0 7 105
-15 -13 -1 -1 14 97
-15 -12 -1 -2 21 89
-15 -11 -1 -3 28 81
-15 -10 -1 -4 35 73
-15 -9 -1 -5 42 65
-15 -8 -1 -6 49 57
-15 -7 -1 -7 56 49
-15 -6 -1 -8 63 41
-15 -5 -1 -9 70 33
-15 -4 -1 -10 77 25
-15 -3 -1 -11 84 17
-15 -2 -1 -12 91 9
-15 -1 -1 -13 98 1
-14 -15 -2 1 -8 106
-14 -14 -2 0 -1 98
-14 -13 -2 -1 6 90
-14 -12 -2 -2 13 82
-14 -11 -2 -3 20 74
-14 -10 -2 -4 27 66
-14 -9 -2 -5 34 58
-14 -8 -2 -6 41 50
-14 -7 -2 -7 48 42
-14 -6 -2 -8 55 34
-14 -5 -2 -9 62 26
-14 -4 -2 -10 69 18
-14 -3 -2 -11 76 10
-14 -2 -2 -12 83 2
-14 -1 -2 -13 90 -6
-13 -15 -3 1 -16 99
-13 -14 -3 0 -9 91
-13 -13 -3 -1 -2 83
-13 -12 -3 -2 5 75
-13 -11 -3 -3 12 67
-13 -10 -3 -4 19 59
-13 -9 -3 -5 26 51
-13 -8 -3 -6 33 43
-13 -7 -3 -7 40 35
-13 -6 -3 -8 47 27
-13 -5 -3 -9 54 19
-13 -4 -3 -10 61 11
-13 -3 -3 -11 68 3
-13 -2 -3 -12 75 -5
-13 -1 -3 -13 82 -13
-12 -15 -4 1 -24 92
-12 -14 -4 0 -17 84
-12 -13 -4 -1 -10 76
-12 -12 -4 -2 -3 68
-12 -11 -4 -3 4 60
-12 -10 -4 -4 11 52
-12 -9 -4 -5 18 44
-12 -8 -4 -6 25 36
-12 -7 -4 -7 32 28
-12 -6 -4 -8 39 20
-12 -5 -4 -9 46 12
-12 -4 -4 -10 53 4
-12 -3 -4 -11 60 -4
-12 -2 -4 -12 67 -12
-12 -1 -4 -13 74 -20
-11 -15 -5 1 -32 85
-11 -14 -5 0 -25 77
-11 -13 -5 -1 -18 69
-11 -12 -5 -2 -11 61
-11 -11 -5 -3 -4 53
